slug,title,page_type,primary_query,search_intent,applies_to,priority_1_to_5,source_url,monetization_angle,notes
beelink-s12-pro-proxmox,Beelink S12 Pro Proxmox Fit,hardware_fit,beelink s12 pro proxmox,check Beelink S12 Pro for Proxmox,Beelink S12 Pro,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Validate exact NIC and RAM options
beelink-ser5-proxmox,Beelink SER5 Proxmox Fit,hardware_fit,beelink ser5 proxmox,check Beelink SER5 for Proxmox,Beelink SER5,3,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Ryzen mini PC page
beelink-ser8-proxmox,Beelink SER8 Proxmox Fit,hardware_fit,beelink ser8 proxmox,check Beelink SER8 for Proxmox,Beelink SER8,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Performance mini PC page
minisforum-um790-proxmox,Minisforum UM790 Proxmox Fit,hardware_fit,minisforum um790 proxmox,check UM790 for Proxmox,Minisforum UM790,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Ryzen 7940HS class
minisforum-um890-proxmox,Minisforum UM890 Proxmox Fit,hardware_fit,minisforum um890 proxmox,check UM890 for Proxmox,Minisforum UM890,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Ryzen AI class
minisforum-hx99g-proxmox,Minisforum HX99G Proxmox Fit,hardware_fit,minisforum hx99g proxmox,check HX99G for Proxmox and GPU workloads,Minisforum HX99G,3,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Discrete GPU angle
gmktec-nucbox-g3-proxmox,GMKtec NucBox G3 Proxmox Fit,hardware_fit,gmktec nucbox g3 proxmox,check G3 for Proxmox,GMKtec G3,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,N100 buyer page
gmktec-nucbox-g5-proxmox,GMKtec NucBox G5 Proxmox Fit,hardware_fit,gmktec nucbox g5 proxmox,check G5 for Proxmox,GMKtec G5,3,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Very compact page
gmktec-k8-proxmox,GMKtec K8 Proxmox Fit,hardware_fit,gmktec k8 proxmox,check K8 for Proxmox,GMKtec K8,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Performance buyer page
trigkey-s5-proxmox,Trigkey S5 Proxmox Fit,hardware_fit,trigkey s5 proxmox,check Trigkey S5 for Proxmox,Trigkey S5,3,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Affiliate long tail
aoostar-r1-proxmox-nas,AOOSTAR R1 Proxmox NAS Fit,hardware_fit,aoostar r1 proxmox,check AOOSTAR R1 for Proxmox NAS,AOOSTAR R1,5,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC NAS affiliate,NAS chassis angle
aoostar-r7-proxmox-nas,AOOSTAR R7 Proxmox NAS Fit,hardware_fit,aoostar r7 proxmox,check AOOSTAR R7 for Proxmox NAS,AOOSTAR R7,5,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC NAS affiliate,NAS chassis angle
cwwk-n100-proxmox-router,CWWK N100 Proxmox Router Fit,hardware_fit,cwwk n100 proxmox,check CWWK N100 for Proxmox router,CWWK N100 firewall appliance,5,https://www.proxmox.com/en/proxmox-ve/requirements,NIC affiliate,Firewall mini PC page
topton-n305-proxmox-router,Topton N305 Proxmox Router Fit,hardware_fit,topton n305 proxmox,check Topton N305 for Proxmox router,Topton N305 firewall appliance,4,https://www.proxmox.com/en/proxmox-ve/requirements,NIC affiliate,Firewall appliance page
protectli-vp2420-proxmox,Protectli VP2420 Proxmox Fit,hardware_fit,protectli vp2420 proxmox,check Protectli VP2420 for Proxmox,Protectli VP2420,4,https://www.proxmox.com/en/proxmox-ve/requirements,NIC affiliate,Firewall appliance page
dell-optiplex-micro-proxmox,Dell OptiPlex Micro Proxmox Fit,hardware_fit,dell optiplex micro proxmox,check used OptiPlex Micro for Proxmox,Dell OptiPlex Micro,5,https://www.proxmox.com/en/proxmox-ve/requirements,used hardware affiliate,Used office PC page
hp-elitedesk-mini-proxmox,HP EliteDesk Mini Proxmox Fit,hardware_fit,hp elitedesk mini proxmox,check used EliteDesk Mini for Proxmox,HP EliteDesk Mini,5,https://www.proxmox.com/en/proxmox-ve/requirements,used hardware affiliate,Used office PC page
lenovo-thinkcentre-tiny-proxmox,Lenovo ThinkCentre Tiny Proxmox Fit,hardware_fit,lenovo thinkcentre tiny proxmox,check ThinkCentre Tiny for Proxmox,Lenovo Tiny,5,https://www.proxmox.com/en/proxmox-ve/requirements,used hardware affiliate,Used office PC page
used-office-pc-proxmox,Used Office PC Proxmox Buying Checklist,buyer_checklist,used office pc proxmox,choose used office PC for Proxmox,Used mini and SFF PCs,5,https://www.proxmox.com/en/proxmox-ve/requirements,used hardware affiliate,High buyer intent
old-laptop-proxmox-homelab,Old Laptop Proxmox Homelab Fit,hardware_fit,old laptop proxmox,decide whether an old laptop fits Proxmox,Used laptop,3,https://www.proxmox.com/en/proxmox-ve/requirements,accessory affiliate,Entry level query
zimaboard-proxmox-nas,ZimaBoard Proxmox NAS Fit,hardware_fit,zimaboard proxmox,check ZimaBoard for Proxmox NAS,ZimaBoard,3,https://www.proxmox.com/en/proxmox-ve/requirements,NAS affiliate,Low-power appliance page
proxmox-intel-i225-v,Intel i225-V Proxmox Notes,networking_fit,i225-v proxmox,check Intel i225-V networking fit,Intel i225-V NICs,4,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,NIC affiliate,Adjacent to i226-V
proxmox-realtek-rtl8156-usb,Realtek RTL8156 USB 2.5G Proxmox Notes,networking_fit,rtl8156 proxmox,check USB 2.5G Realtek adapter fit,USB 2.5G NICs,4,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,NIC affiliate,USB NIC caveats
proxmox-intel-x520-10g,Intel X520 10G Proxmox Notes,networking_fit,intel x520 proxmox,check Intel X520 10G fit,Intel X520,4,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,10G NIC affiliate,Used 10G NIC page
proxmox-intel-x540-10g,Intel X540 10G Proxmox Notes,networking_fit,intel x540 proxmox,check Intel X540 10G fit,Intel X540,3,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,10G NIC affiliate,Power and heat angle
proxmox-intel-x710-10g,Intel X710 Proxmox Notes,networking_fit,intel x710 proxmox,check Intel X710 fit,Intel X710,3,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,10G NIC affiliate,Higher-end NIC page
proxmox-connectx-3,ConnectX-3 Proxmox Notes,networking_fit,connectx-3 proxmox,check Mellanox ConnectX-3 fit,Mellanox ConnectX-3,4,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,10G NIC affiliate,Used NIC buyer page
proxmox-connectx-4,ConnectX-4 Proxmox Notes,networking_fit,connectx-4 proxmox,check Mellanox ConnectX-4 fit,Mellanox ConnectX-4,4,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,10G NIC affiliate,Used NIC buyer page
proxmox-aquantia-aqc107,Aquantia AQC107 Proxmox Notes,networking_fit,aqc107 proxmox,check Aquantia 10G fit,Aquantia AQC107,3,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,10G NIC affiliate,Onboard 10G page
proxmox-vlan-aware-bridge,Proxmox VLAN Aware Bridge Checklist,networking_fit,proxmox vlan aware bridge,configure VLAN-aware bridge safely,Proxmox bridge networking,5,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,remote support,High-intent network page
proxmox-bonding-2-5g,Proxmox 2.5G NIC Bonding Checklist,networking_fit,proxmox 2.5g bond,decide whether to bond 2.5G NICs,Proxmox NIC bonding,3,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,NIC affiliate,Decision page
proxmox-link-flapping,Proxmox Network Link Flapping,error_fix,proxmox link flapping,fix unstable Proxmox network links,Proxmox networking,4,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,remote support,Exact symptom
proxmox-vm-no-internet,Proxmox VM No Internet,error_fix,proxmox vm no internet,fix VM network connectivity,Proxmox VM networking,5,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,remote support,High-intent troubleshooting
proxmox-bridge-wrong-interface,Proxmox Bridge Uses Wrong Interface,error_fix,proxmox bridge wrong interface,fix bridge attached to wrong NIC,Proxmox bridge networking,4,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,remote support,Install/network page
proxmox-local-lvm-vs-directory,Proxmox local-lvm vs Directory Storage,comparison,proxmox local-lvm vs directory,choose local-lvm or directory storage,Proxmox storage,5,https://pve.proxmox.com/pve-docs/chapter-storage.html,remote support,Common beginner query
proxmox-mirrored-boot-drives,Proxmox Mirrored Boot Drives,storage_fit,proxmox mirrored boot drives,plan mirrored boot storage,Proxmox boot storage,4,https://pve.proxmox.com/pve-docs/chapter-zfs.html,SSD affiliate,Boot reliability page
proxmox-zfs-special-vdev,Proxmox ZFS Special VDEV Checklist,storage_fit,proxmox zfs special vdev,decide whether to use special vdev,Proxmox ZFS,3,https://pve.proxmox.com/pve-docs/chapter-zfs.html,SSD affiliate,Advanced storage page
proxmox-nvme-endurance,Proxmox NVMe Endurance Checklist,storage_fit,proxmox nvme endurance,choose NVMe endurance for Proxmox,Proxmox NVMe storage,4,https://pve.proxmox.com/pve-docs/chapter-storage.html,SSD affiliate,Commercial storage page
