slug,title,page_type,primary_query,search_intent,applies_to,priority_1_to_5,source_url,monetization_angle,notes
proxmox-mini-pc-nas-checklist,Proxmox Mini PC NAS Checklist,buyer_checklist,proxmox mini pc nas,choose a mini PC NAS build,Proxmox VE mini PC NAS,5,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Foundation buyer page
intel-n100-proxmox-nas,Intel N100 Proxmox NAS Compatibility,hardware_fit,intel n100 proxmox nas,check Intel N100 fit for Proxmox NAS,Intel N100 mini PCs,5,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,High-volume hardware family
intel-n305-proxmox-homelab,Intel N305 Proxmox Homelab Fit,hardware_fit,intel n305 proxmox,check Intel N305 fit for Proxmox homelab,Intel N305 mini PCs,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Higher-end Alder Lake-N option
amd-ryzen-7840hs-proxmox,AMD Ryzen 7840HS Proxmox Fit,hardware_fit,ryzen 7840hs proxmox,check Ryzen 7840HS fit for Proxmox,AMD Ryzen mini PCs,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Performance mini PC cluster
beelink-eq13-proxmox,Beelink EQ13 Proxmox Fit,hardware_fit,beelink eq13 proxmox,check Beelink EQ13 for Proxmox,Beelink EQ13,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Vendor page to validate
minisforum-ms-01-proxmox,Minisforum MS-01 Proxmox Fit,hardware_fit,minisforum ms-01 proxmox,check MS-01 for Proxmox and storage,Minisforum MS-01,5,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,High buyer intent
proxmox-2-5g-i226-v,Intel i226-V 2.5G Proxmox Notes,networking_fit,i226-v proxmox,check Intel i226-V networking fit,Intel i226-V NICs,5,https://pve.proxmox.com/pve-docs/,NIC affiliate,Common mini PC NIC
proxmox-realtek-rtl8125,Realtek RTL8125 Proxmox Notes,networking_fit,realtek rtl8125 proxmox,check Realtek 2.5G Proxmox fit,Realtek RTL8125 NICs,5,https://pve.proxmox.com/pve-docs/,NIC affiliate,Driver-risk page
proxmox-no-network-after-install,Proxmox No Network After Install,error_fix,proxmox no network after install,fix network missing after Proxmox install,Proxmox networking,5,https://pve.proxmox.com/pve-docs/chapter-sysadmin.html,remote support,High-intent troubleshooting
proxmox-zfs-mirror-mini-pc,Proxmox ZFS Mirror On Mini PC,storage_fit,proxmox zfs mirror mini pc,choose ZFS mirror layout on mini PC,Proxmox ZFS storage,5,https://pve.proxmox.com/pve-docs/chapter-zfs.html,SSD affiliate,Core NAS page
proxmox-zfs-ram-requirements,Proxmox ZFS RAM Requirements,storage_fit,proxmox zfs ram requirements,estimate RAM for ZFS homelab,Proxmox ZFS,4,https://pve.proxmox.com/pve-docs/chapter-zfs.html,RAM affiliate,Common planning query
proxmox-nvme-vs-sata-nas,Proxmox NVMe vs SATA NAS Storage,comparison,proxmox nvme vs sata nas,choose NVMe or SATA for NAS VM,Proxmox storage,4,https://pve.proxmox.com/pve-docs/chapter-storage.html,SSD affiliate,Buyer comparison
hba-passthrough-truenas-vm,HBA Passthrough To TrueNAS VM,passthrough_fit,proxmox hba passthrough truenas,plan HBA passthrough for TrueNAS VM,PCIe passthrough storage,5,https://pve.proxmox.com/wiki/PCI%28e%29_Passthrough,HBA affiliate,High-value build page
gpu-passthrough-checklist,Proxmox GPU Passthrough Checklist,passthrough_fit,proxmox gpu passthrough checklist,prepare GPU passthrough,PCIe passthrough GPU,4,https://pve.proxmox.com/wiki/PCI%28e%29_Passthrough,GPU affiliate,Checklist page
usb-passthrough-home-assistant,USB Passthrough For Home Assistant VM,passthrough_fit,proxmox usb passthrough home assistant,plan USB passthrough for HA VM,USB passthrough,4,https://pve.proxmox.com/pve-docs/,smart home affiliate,Adjacent homelab use case
proxmox-vs-truenas-scale-mini-pc,Proxmox vs TrueNAS Scale For Mini PC NAS,comparison,proxmox vs truenas scale mini pc,choose Proxmox or TrueNAS Scale,Mini PC NAS,5,https://www.proxmox.com/en/proxmox-ve/requirements,NAS affiliate,Commercial decision page
proxmox-backup-mini-pc,Proxmox Backup Plan For Mini PC Homelab,ops_checklist,proxmox backup mini pc,plan backups for mini PC Proxmox,Proxmox backups,4,https://pbs.proxmox.com/docs/,backup affiliate,Trust page
proxmox-ups-mini-pc,UPS Sizing For Proxmox Mini PC,ops_checklist,ups for proxmox mini pc,choose UPS for mini PC homelab,Mini PC power,3,https://pve.proxmox.com/pve-docs/,UPS affiliate,Power reliability page
proxmox-low-power-homelab,Low Power Proxmox Homelab Build,buyer_checklist,low power proxmox homelab,choose low-power Proxmox hardware,Low-power homelab,4,https://www.proxmox.com/en/proxmox-ve/requirements,mini PC affiliate,Scenario page
proxmox-firewall-mini-pc,Proxmox Firewall Mini PC Fit,buyer_checklist,proxmox firewall mini pc,choose mini PC for firewall VM,Firewall VM,4,https://www.proxmox.com/en/proxmox-ve/requirements,NIC affiliate,Scenario page
proxmox-cluster-three-mini-pcs,Three Mini PC Proxmox Cluster,buyer_checklist,three mini pc proxmox cluster,plan a small Proxmox cluster,Proxmox cluster,4,https://pve.proxmox.com/pve-docs/chapter-pvecm.html,mini PC affiliate,Cluster starter page
proxmox-lxc-vs-vm-homelab,LXC vs VM For Proxmox Homelab,comparison,proxmox lxc vs vm,choose LXC or VM for homelab workloads,Proxmox workloads,4,https://pve.proxmox.com/pve-docs/,remote support,Core decision page
proxmox-storage-layout-checklist,Proxmox Storage Layout Checklist,storage_fit,proxmox storage layout,choose local storage layout,Proxmox storage,5,https://pve.proxmox.com/pve-docs/chapter-storage.html,SSD affiliate,Internal link hub
proxmox-installation-checklist,Proxmox Installation Checklist,ops_checklist,proxmox installation checklist,prepare first Proxmox install,Proxmox VE install,4,https://pve.proxmox.com/pve-docs/chapter-pve-installation.html,remote support,Entry troubleshooting page
